path,alt
assets/img/gallery/asset001_20250922.JPG,"An instructor speaks to college students in a classroom."
assets/img/gallery/asset002_20250922.jpg,"A group of college students pose for a photo with an instructor in front of a projector screen."
assets/img/gallery/asset003_20250922.JPG,"An instructor gestures toward a projector screen while speaking to students in a classroom."
assets/img/gallery/asset004_20250922.jpg,"Two people pose for a photo at the front of a classroom."
assets/img/gallery/asset005_20250922.JPG,"An instructor speaks to students in a classroom, who are seated in a U-shape."
assets/img/gallery/asset006_20250929.jpg,"A group of students are gathered outside of a historic brick building."
assets/img/gallery/asset007_20250929.JPG,"A person, facing away, leans over the back of a bench upon which other people are seated in a large white room with many windows, columns, and a mezzanine."
assets/img/gallery/asset008_20250929.JPG,"A group of college students walk down a narrow brick road or alley between two red brick buildings."
assets/img/gallery/asset009_20250929.JPG,"A group of college students and an instructor pose for a photo outside of a white building with large columns."
assets/img/gallery/asset010_20250929.JPG,"A group of college students and an instructor pose for a photo outside of a white building with large columns."
assets/img/gallery/asset011_20251005.jpg,"Four smiling people sit at a table outdoors under an umbrella."
assets/img/gallery/asset012_20251005.JPG,"Students sit listening to a person who is speaking."
assets/img/gallery/asset013_20251005.JPG,"A group of people gathers for a photo inside a grocery store."
assets/img/gallery/asset014_20251005.JPG,"A group of students gathers around a mosaic at the corner of a city street."
assets/img/gallery/asset015_20251005.JPG,"A group of people sit at a long table with refreshments."
assets/img/gallery/asset016_20251005.JPG,"A large group of people gathers for a photo inside a restaurant or café."
assets/img/gallery/asset017_20251006.JPG,"A seated instructor speaks to a classroom full of students. A quilt hangs on the wall in the background."
assets/img/gallery/asset018_20251006.JPG,"A seated instructor speaks to a classroom full of students. The projector screen behind her reads, 'Ninth Stret Curbside Market, 1915.'"
assets/img/gallery/asset019_20251006.JPG,"A group of college students and instructors gathers for a photo at the front of a classroom."
assets/img/gallery/asset020_20251020.JPG,"An instructor gestures at a pice of artwork shown on a projector screen."
assets/img/gallery/asset021_20251020.JPG,"College students sit and listen to an instructor at the front of a classroom."
assets/img/gallery/asset022_20251020.JPG,"College students sit for a lecture. An artwork is shown on the projector screen at the front of the classroom."
assets/img/gallery/asset023_20251024.JPG,"College students gather on a city sidewalk outside of a former Rite Aid building, listening to a tour guide."
assets/img/gallery/asset024_20251024.JPG,"College students gather around a mural, listening to a tour guide."
assets/img/gallery/asset025_20251024.JPG,"College students listen to a tour guide on a sidewalk in Philadelphia."
assets/img/gallery/asset026_20251024.jpg,"A tour guide speaks to a group of college students in a market in a city."
assets/img/gallery/asset027_20251024.jpg,"A group of people sit for a meal in a restaurant. Artwork depicting a market hangs on the red brick wall."
assets/img/gallery/asset028_20251027.jpg,"College students gather, looking at a large historic building."
assets/img/gallery/asset029_20251027.JPG,"College students stand in a group near a historic red brick building."
assets/img/gallery/asset030_20251027.JPG,"A group of people stand listening to someone speaking inside a white room."
assets/img/gallery/asset031_20251027.JPG,"A group of people gathers for a photo in front of a symmetrical historic building."
assets/img/gallery/asset032_20251103.JPG,"College students sit in a classroom, listening to a lecturer."
assets/img/gallery/asset033_20251103.JPG,"College students take notes on their computers during a lecture."
assets/img/gallery/asset034_20251103.JPG,"College students are seated for a lecture."
assets/img/gallery/asset035_20251110.jpg,"A group of people stand for a photo in front of a large statue of Benjamin Franklin."
assets/img/gallery/asset036_20251117.jpg,"Two people stand for a photo next to a painted portrait of a man in a gray suit."
assets/img/gallery/asset037_20251117.JPG,"An instructor points at a detail on a photograph of a statue while college students watch and listen."
assets/img/gallery/asset038_20251110.jpg,"A group of people gathers for a photo at the corner of a city street, in front of a large historic building."
assets/img/gallery/asset039_20251117.JPG,"College students sit for a lecture."
assets/img/gallery/asset040_20251117.JPG,"Three smiling people pose for a photo in front of four pieces of art hanging on a wall."
